name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
monterrey,2023-01-01,32.6,12.1,21.5,30.6,12.1,21.1,9.2,52.1,0,0,0,,0,0,25.9,21,281.1,1012.2,12.3,16.5,108.1,9.2,4,10,2023-01-01T07:27:50,2023-01-01T18:01:58,0.32,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,MMAN,76394399999,remote,76393099999"
monterrey,2023-01-02,30.8,15,22.2,30,15,21.9,12.2,60.7,0,0,0,,0,0,43.2,14.8,161.1,1008.7,38.9,12.3,99.2,8.6,4,30,2023-01-02T07:28:06,2023-01-02T18:02:38,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-03,29.5,16.1,21.3,29.4,16.1,21.1,4.6,35.9,0,0,0,,0,0,32,19.4,289.3,1011.7,9.1,15.1,117.3,10.1,4,10,2023-01-03T07:28:21,2023-01-03T18:03:19,0.39,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-04,27.5,10.1,19,27.3,10.1,19,4.7,40.7,0,0,0,,0,0,20.5,16.6,160.1,1018.9,7.3,14.2,108,9.3,4,10,2023-01-04T07:28:34,2023-01-04T18:04:01,0.42,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-05,27.3,9,18.7,27.2,7.3,18.5,6.6,47.7,0,0,0,,0,0,31,14.8,66.3,1022.7,0,14.1,109,9.4,4,10,2023-01-05T07:28:46,2023-01-05T18:04:43,0.46,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-06,26.1,15.1,19.6,26.1,15.1,19.6,14.1,73.4,0,0,0,,0,0,24.8,18.4,107.7,1020.3,39.7,8.9,101.8,9,4,10,2023-01-06T07:28:57,2023-01-06T18:05:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-07,28.8,13.8,20.7,28.4,13.8,20.7,15,73.5,0,0,0,,0,0,20.2,17,21.5,1018.2,22.7,9.5,107.1,9.3,4,30,2023-01-07T07:29:06,2023-01-07T18:06:09,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-08,23.6,11.1,19.5,23.6,11.1,19.5,11.8,62,0,0,0,,0,0,26.3,24,350.1,1022.5,76,11.9,71,6,3,10,2023-01-08T07:29:14,2023-01-08T18:06:52,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-09,24.5,15.6,18.8,24.5,15.6,18.8,12.6,68.2,0,0,0,,0,0,21.2,18.4,114.3,1021.6,59.2,11.6,87.5,7.6,4,10,2023-01-09T07:29:20,2023-01-09T18:07:37,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,MMAN,76394399999,76393099999"
monterrey,2023-01-10,29.3,12,19.7,27.9,12,19.5,11.6,65.9,0,0,0,,0,0,23,15.4,279.2,1018.9,0,10.8,109,9.4,4,10,2023-01-10T07:29:25,2023-01-10T18:08:21,0.63,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-11,32.4,11.4,21.9,31.2,11.4,21.4,8.6,48.7,0,0,0,,0,0,19.4,16.4,183.3,1014.5,0,11.5,123.8,10.7,4,10,2023-01-11T07:29:28,2023-01-11T18:09:06,0.66,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,MMAN,76394399999,76393099999"
monterrey,2023-01-12,25,15.1,20.1,25,15.1,20.1,-1.5,28,0,0,0,,0,0,35.3,25,348.4,1022.1,0,17.9,115,9.8,4,10,2023-01-12T07:29:30,2023-01-12T18:09:51,0.69,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
monterrey,2023-01-13,20,8,13.8,20,5.5,13.6,-2,34.5,0,0,0,rain,0,0,29.2,20.5,327.9,1029,0,18.8,110.7,9.6,4,10,2023-01-13T07:29:30,2023-01-13T18:10:37,0.73,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,remote,76393099999"
monterrey,2023-01-14,21.8,6,13.6,21.8,5.7,13.3,-1,37.5,0,0,0,rain,0,0,34.9,20.3,110,1022.6,0.5,15.9,108.6,9.3,4,10,2023-01-14T07:29:29,2023-01-14T18:11:22,0.75,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
monterrey,2023-01-15,26.9,8,16.4,26.6,6.8,16.1,7,58.8,0,0,0,rain,0,0,30.2,17.6,109.2,1012.3,13.6,14.9,106.2,9.2,4,10,2023-01-15T07:29:26,2023-01-15T18:12:08,0.79,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-16,33.9,12.9,23,31.6,12.9,22.4,3.2,33.2,0,0,0,rain,0,0,205.2,25.1,301.3,1008,14.3,11.5,115,10.2,4,10,2023-01-16T07:29:22,2023-01-16T18:12:54,0.83,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,remote,76393099999"
monterrey,2023-01-17,29.8,13.2,20.8,28.8,13.2,20.6,8.5,47,0,0,0,rain,0,0,29.2,13.9,132.6,1007.5,28.7,13.3,99,8.6,5,10,2023-01-17T07:29:16,2023-01-17T18:13:40,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-18,27.8,16.1,22,27.1,16.1,21.8,8.8,46.3,0,0,0,rain,0,0,28.8,26.9,344,1007.7,27.5,12.4,112.3,9.8,4,10,2023-01-18T07:29:09,2023-01-18T18:14:27,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,remote,76393099999"
monterrey,2023-01-19,19.8,15.1,17.8,19.8,15.1,17.8,-0.5,31.1,0,0,0,,0,0,31.7,20.6,29.7,1017.8,75,14.1,105.1,9,4,10,2023-01-19T07:29:00,2023-01-19T18:15:13,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-20,22.1,11.5,17.2,22.1,11.5,17.2,7.7,55.4,0,0,0,,0,0,31.7,20.2,122.7,1017,82.6,10.2,85.5,7.4,4,10,2023-01-20T07:28:50,2023-01-20T18:15:59,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,remote,76393099999"
monterrey,2023-01-21,27.8,9.9,18,28,9,17.9,12.9,75.1,0,0,0,,0,0,25.9,18.5,121.3,1013.3,37.1,9.4,116.4,10.1,5,10,2023-01-21T07:28:39,2023-01-21T18:16:45,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
monterrey,2023-01-22,24.2,14.1,18,24.2,14.1,18,0.2,35.8,1.1,100,12.5,rain,0,0,40.3,20.6,31.7,1015.7,33.1,16.8,116.5,10.2,4,10,2023-01-22T07:28:26,2023-01-22T18:17:32,0.03,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
